mjd,magnitude,mag_err,filter
60999.904421296436,18.040247932376477,0.005005867323702,I
60999.904421296436,18.044490353342212,0.005127568439547,I
60999.904421296436,17.28603697564381,0.0044052355165812,V
60999.904421296436,17.297422143845935,0.0044229800191134,V
60999.90916437516,18.03687531144806,0.0049833826619428,I
60999.90916437516,17.315737182488352,0.0044246980348804,V
60999.912638888694,17.573823786707287,0.0036306451696966,R
60999.912638888694,17.613217042781883,0.003606916677945,R
60999.91853937507,17.625671190614362,0.0036440280452683,R
60999.931851851754,17.593722944806977,0.005966616975297,B
60999.931851851754,17.65762153594339,0.0061622757401145,B
60999.93890974531,17.577745527876505,0.005994520585024,B
60999.943136574235,16.816107966382855,0.0112171176334892,U
60999.943136574235,16.89619634706264,0.011784706824285,U
60999.95135187497,16.85221905919893,0.0114841188309002,U
61001.8848842592,17.460585491101114,0.004286959024526,I
61001.8848842592,17.42174471057141,0.0042738412854651,I
61006.97105324082,16.73121241846293,0.0030362912569873,I
61006.97105324082,16.671200290064107,0.0029844815777225,I
61006.97105324082,15.979758219477691,0.0022604091644623,V
61006.97105324082,15.99035303863735,0.0022672355428828,V
61006.975358796306,16.336600672337333,0.0021236593960679,R
61006.975358796306,16.3058652811673,0.0021212534499484,R
61006.99074074067,16.2976857618521,0.0030281937108083,B
61006.99074074067,16.28408329065216,0.0030300850042325,B
61006.99848379614,16.27665783620041,0.0030187686977484,B
61007.00201274315,16.28866478078974,0.0030438295377666,B
61047.730405092705,15.94285418561012,0.0026518599354059,I
61047.73375000013,15.875577462426875,0.0021033124419107,R
61048.944733784534,15.91316686289759,0.002694353201238,I
61090.68518518517,16.709087283361505,0.0022930163901023,I
61090.68518518517,16.720719742787615,0.0022952893255611,I
61090.68518518517,16.907805899998696,0.0036877796891426,V
61090.68518518517,16.948668471497573,0.0037041682755685,V
61090.69371527759,16.82659608252365,0.0024074871553609,R
61090.69371527759,16.818934148505328,0.0024015899385795,R
61090.710856481455,18.053571655819304,0.0091995642436824,B
61090.710856481455,18.107275505963415,0.0093690832262983,B
61090.718831018545,18.228166241419558,0.0438318160773321,U
61090.718831018545,18.591722877869493,0.0606621911818885,U
61116.64625000022,17.18264798211848,0.0042258055129507,I
61116.64625000022,17.171852205199382,0.0042143960301792,I
61116.64625000022,17.25801345302437,0.0056420268214887,V
61116.64625000022,17.289994225141314,0.0057514104098686,V
61116.650613425765,17.308109444976758,0.004508359842626,R
61116.650613425765,17.237139574942603,0.0044144809286377,R
61116.66070601856,18.31009797125042,0.0108404180834972,B
61116.66070601856,18.345770781000645,0.0110921737486806,B
61116.66868055565,18.41082466973326,0.0456528673161227,U
61116.66868055565,18.47037136987889,0.0479699368480495,U
61121.6348842592,17.221021673162653,0.0036233471121028,I
61121.6348842592,17.214046768057305,0.0036230358724051,I
61121.6348842592,17.310387229969752,0.0045012897635651,V
61121.6348842592,17.33299752822721,0.0045630486637853,V
61121.64031249983,17.33202505975374,0.0033996944224445,R
61121.64031249983,17.339076031451814,0.0033919519894832,R
61121.65496527776,18.413332333494232,0.010293192751406,B
61121.65496527776,18.38330720513223,0.0100548338755792,B
