,mjd,filter,file,psfmag_corr,psfmag_err
0,59884.0,B,SN2022xus_B_1,17.84218226832722,0.0082240151788624
1,59884.0,B,SN2022xus_B_2,17.859700387182336,0.0083169612574121
2,59884.0,B,SN2022xus_B_3,17.856222940251335,0.008590369438488
3,59884.0,I,SN2022xus_I_1,16.608989033045113,0.0062992310892812
4,59884.0,I,SN2022xus_I_2,16.609099988972204,0.0063776513074344
5,59884.0,R,SN2022xus_R_1,16.912866614956414,0.0043268754738058
6,59884.0,R,SN2022xus_R_2,16.900323735408705,0.0042919714599285
7,59884.0,U,SN2022xus_U_1,17.69141538629622,0.0198063111672104
8,59884.0,U,SN2022xus_U_2,17.74950535684485,0.0201657267034351
9,59884.0,U,SN2022xus_U_3,17.7972676483065,0.020649552606776
10,59884.0,V,SN2022xus_V_1,17.270217789547047,0.0060573827688457
11,59884.0,V,SN2022xus_V_2,17.328337333817174,0.0062562241529591
12,59896.0,B,2022xus_B_1,18.32693242871824,0.0339648050750496
13,59896.0,B,2022xus_B_2,18.29105366972778,0.0337324422342088
14,59896.0,I,2022xus_I_1,16.6208905115413,0.0140805555402797
15,59896.0,I,2022xus_I_2,16.58931131774307,0.0133559361523931
16,59896.0,R,2022xus_R_1,16.97343440230965,0.0104690784279972
17,59896.0,R,2022xus_R_2,16.901393542317575,0.0106750468039874
18,59896.0,V,2022xus_V_1,17.443793039576782,0.0187801964241008
19,59896.0,V,2022xus_V_2,17.50505335869009,0.017990524561414
20,59899.0,B,2022xus_B_1,18.45499239090387,0.0178810995850955
21,59899.0,B,2022xus_B_2,18.458991409479548,0.0179519868561281
22,59899.0,I,2022xus_I_1,16.71202076973033,0.0105543413002983
23,59899.0,I,2022xus_I_2,16.688048551354957,0.0101741575069046
24,59899.0,R,2022xus_R_1,17.08619253019283,0.0065931437421386
25,59899.0,R,2022xus_R_2,17.05266306642225,0.006552535503746
26,59899.0,V,2022xus_V_1,17.61651943068158,0.0101992645652832
27,59899.0,V,2022xus_V_2,17.569404523900168,0.0107873046704147
28,59910.0,B,SN2022xus_B_01_1,18.599130473683807,0.0117374034655793
29,59910.0,B,SN2022xus_B_02_1,18.653465619910666,0.01217425538593
30,59910.0,I,SN2022xus_I_01_1,16.6774373058578,0.0072573850587194
31,59910.0,I,SN2022xus_I_02_1,16.68086861536233,0.0071734385965548
32,59910.0,R,SN2022xus_R_01_1,17.14409934276236,0.0046478549086877
33,59910.0,R,SN2022xus_R_02_1,17.10882675367589,0.0046399167767246
34,59910.0,V,SN2022xus_V_01_1,17.666531042727836,0.0063538340397139
35,59910.0,V,SN2022xus_V_02_1,17.68490897611417,0.0065586438374855
36,59917.0,B,2022xus_B_1,18.836795237548305,0.0329417646539122
37,59917.0,B,2022xus_B_2,18.779391816439546,0.032243456510625
38,59917.0,R,2022xus_R_1,17.246442776841448,0.0081073666744287
39,59917.0,R,2022xus_R_2,17.219618790420864,0.0075654657131136
40,59917.0,V,2022xus_V_1,17.76821452251015,0.0133511765797182
41,59917.0,V,2022xus_V_2,17.7613514604219,0.0124314343532189
42,59944.0,B,2022xus_B_1,19.154631847507503,0.0200185913909089
43,59944.0,I,2022xus_I_1,16.963462599953907,0.0089841276345741
44,59944.0,R,2022xus_R_1,17.494440143315725,0.0068831420735037
45,59944.0,V,2022xus_V_1,18.030755976451346,0.0097134188885055
46,59957.0,I,SN2022xus_I_1,17.541176522122406,0.0138517537432215
47,59957.0,R,SN2022xus_R_0_1,18.13400134517537,0.0252723273611491
48,59957.0,R,SN2022xus_R_1,18.121548919021457,0.0093334999613186
49,59957.0,V,SN2022xus_V_1,18.698607541714775,0.0135102328955218
50,59961.0,I,2022xus_I_1,17.928487779592942,0.021095908375102
51,59961.0,R,2022xus_R_1,18.633272897212166,0.0156120444370601
52,59961.0,V,2022xus_V_1,19.130851900154962,0.0232857551966964
